SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
101,1.536,3,10,AODV,7.5
102,7.68,15,10,AODV,7.5
103,6.144,12,10,AODV,7.5
104,5.632,11,10,AODV,7.5
105,6.144,12,10,AODV,7.5
106,5.632,11,10,AODV,7.5
107,6.656,13,10,AODV,7.5
108,20.992,41,10,AODV,7.5
109,10.752,21,10,AODV,7.5
110,8.192,16,10,AODV,7.5
111,6.656,13,10,AODV,7.5
112,5.632,11,10,AODV,7.5
113,6.656,13,10,AODV,7.5
114,14.336,28,10,AODV,7.5
115,8.704,17,10,AODV,7.5
116,7.68,15,10,AODV,7.5
117,10.24,20,10,AODV,7.5
118,12.8,25,10,AODV,7.5
119,11.264,22,10,AODV,7.5
120,12.288,24,10,AODV,7.5
121,10.752,21,10,AODV,7.5
122,11.776,23,10,AODV,7.5
123,12.8,25,10,AODV,7.5
124,13.312,26,10,AODV,7.5
125,13.312,26,10,AODV,7.5
126,12.288,24,10,AODV,7.5
127,10.752,21,10,AODV,7.5
128,10.752,21,10,AODV,7.5
129,9.728,19,10,AODV,7.5
130,4.096,8,10,AODV,7.5
131,4.096,8,10,AODV,7.5
132,3.072,6,10,AODV,7.5
133,4.096,8,10,AODV,7.5
134,4.096,8,10,AODV,7.5
135,3.584,7,10,AODV,7.5
136,3.584,7,10,AODV,7.5
137,2.56,5,10,AODV,7.5
138,1.536,3,10,AODV,7.5
139,2.048,4,10,AODV,7.5
140,2.048,4,10,AODV,7.5
141,7.168,14,10,AODV,7.5
142,5.632,11,10,AODV,7.5
143,8.192,16,10,AODV,7.5
144,31.232,61,10,AODV,7.5
145,24.576,48,10,AODV,7.5
146,14.848,29,10,AODV,7.5
147,14.336,28,10,AODV,7.5
148,10.752,21,10,AODV,7.5
149,12.288,24,10,AODV,7.5
150,13.312,26,10,AODV,7.5
151,9.728,19,10,AODV,7.5
152,12.288,24,10,AODV,7.5
153,15.872,31,10,AODV,7.5
154,11.264,22,10,AODV,7.5
155,13.312,26,10,AODV,7.5
156,12.288,24,10,AODV,7.5
157,11.264,22,10,AODV,7.5
158,10.752,21,10,AODV,7.5
159,7.68,15,10,AODV,7.5
160,8.192,16,10,AODV,7.5
161,8.192,16,10,AODV,7.5
162,7.68,15,10,AODV,7.5
163,6.656,13,10,AODV,7.5
164,6.656,13,10,AODV,7.5
165,6.144,12,10,AODV,7.5
166,6.144,12,10,AODV,7.5
167,5.632,11,10,AODV,7.5
168,7.68,15,10,AODV,7.5
169,7.168,14,10,AODV,7.5
170,6.656,13,10,AODV,7.5
171,8.704,17,10,AODV,7.5
172,8.192,16,10,AODV,7.5
173,8.192,16,10,AODV,7.5
174,7.68,15,10,AODV,7.5
175,6.144,12,10,AODV,7.5
176,8.704,17,10,AODV,7.5
177,9.728,19,10,AODV,7.5
178,8.192,16,10,AODV,7.5
179,7.168,14,10,AODV,7.5
180,8.192,16,10,AODV,7.5
181,11.264,22,10,AODV,7.5
182,7.168,14,10,AODV,7.5
183,8.192,16,10,AODV,7.5
184,7.168,14,10,AODV,7.5
185,4.608,9,10,AODV,7.5
186,2.048,4,10,AODV,7.5
187,1.536,3,10,AODV,7.5
188,2.048,4,10,AODV,7.5
189,4.096,8,10,AODV,7.5
190,4.096,8,10,AODV,7.5
191,4.096,8,10,AODV,7.5
192,4.096,8,10,AODV,7.5
193,6.656,13,10,AODV,7.5
194,5.632,11,10,AODV,7.5
195,4.608,9,10,AODV,7.5
196,6.144,12,10,AODV,7.5
197,4.608,9,10,AODV,7.5
198,3.584,7,10,AODV,7.5
199,3.584,7,10,AODV,7.5
