SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower
101,1.536,3,10,DSDV,7.5
102,4.096,8,10,DSDV,7.5
103,4.096,8,10,DSDV,7.5
104,3.584,7,10,DSDV,7.5
105,2.048,4,10,DSDV,7.5
106,5.632,11,10,DSDV,7.5
107,6.144,12,10,DSDV,7.5
108,6.144,12,10,DSDV,7.5
109,6.144,12,10,DSDV,7.5
110,6.144,12,10,DSDV,7.5
111,6.656,13,10,DSDV,7.5
112,5.632,11,10,DSDV,7.5
113,2.56,5,10,DSDV,7.5
114,2.048,4,10,DSDV,7.5
115,2.048,4,10,DSDV,7.5
116,2.048,4,10,DSDV,7.5
117,2.048,4,10,DSDV,7.5
118,2.048,4,10,DSDV,7.5
119,2.048,4,10,DSDV,7.5
120,2.048,4,10,DSDV,7.5
121,8.704,17,10,DSDV,7.5
122,3.584,7,10,DSDV,7.5
123,2.048,4,10,DSDV,7.5
124,2.048,4,10,DSDV,7.5
125,2.56,5,10,DSDV,7.5
126,4.096,8,10,DSDV,7.5
127,3.072,6,10,DSDV,7.5
128,2.048,4,10,DSDV,7.5
129,2.048,4,10,DSDV,7.5
130,2.048,4,10,DSDV,7.5
131,2.048,4,10,DSDV,7.5
132,2.048,4,10,DSDV,7.5
133,2.048,4,10,DSDV,7.5
134,2.048,4,10,DSDV,7.5
135,2.048,4,10,DSDV,7.5
136,2.048,4,10,DSDV,7.5
137,2.048,4,10,DSDV,7.5
138,1.024,2,10,DSDV,7.5
139,0,0,10,DSDV,7.5
140,0.512,1,10,DSDV,7.5
141,2.048,4,10,DSDV,7.5
142,2.048,4,10,DSDV,7.5
143,2.048,4,10,DSDV,7.5
144,2.048,4,10,DSDV,7.5
145,2.048,4,10,DSDV,7.5
146,2.048,4,10,DSDV,7.5
147,2.048,4,10,DSDV,7.5
148,2.048,4,10,DSDV,7.5
149,3.072,6,10,DSDV,7.5
150,4.096,8,10,DSDV,7.5
151,2.048,4,10,DSDV,7.5
152,2.048,4,10,DSDV,7.5
153,3.072,6,10,DSDV,7.5
154,5.632,11,10,DSDV,7.5
155,6.144,12,10,DSDV,7.5
156,6.144,12,10,DSDV,7.5
157,7.68,15,10,DSDV,7.5
158,7.68,15,10,DSDV,7.5
159,5.632,11,10,DSDV,7.5
160,6.144,12,10,DSDV,7.5
161,6.144,12,10,DSDV,7.5
162,6.144,12,10,DSDV,7.5
163,6.144,12,10,DSDV,7.5
164,6.144,12,10,DSDV,7.5
165,6.144,12,10,DSDV,7.5
166,4.096,8,10,DSDV,7.5
167,5.12,10,10,DSDV,7.5
168,4.096,8,10,DSDV,7.5
169,4.096,8,10,DSDV,7.5
170,4.096,8,10,DSDV,7.5
171,4.096,8,10,DSDV,7.5
172,4.096,8,10,DSDV,7.5
173,4.096,8,10,DSDV,7.5
174,4.096,8,10,DSDV,7.5
175,4.096,8,10,DSDV,7.5
176,4.096,8,10,DSDV,7.5
177,4.096,8,10,DSDV,7.5
178,4.096,8,10,DSDV,7.5
179,4.096,8,10,DSDV,7.5
180,5.12,10,10,DSDV,7.5
181,6.144,12,10,DSDV,7.5
182,5.12,10,10,DSDV,7.5
183,4.096,8,10,DSDV,7.5
184,3.584,7,10,DSDV,7.5
185,2.048,4,10,DSDV,7.5
186,2.048,4,10,DSDV,7.5
187,1.536,3,10,DSDV,7.5
188,0,0,10,DSDV,7.5
189,1.536,3,10,DSDV,7.5
190,2.048,4,10,DSDV,7.5
191,2.048,4,10,DSDV,7.5
192,2.048,4,10,DSDV,7.5
193,2.048,4,10,DSDV,7.5
194,2.048,4,10,DSDV,7.5
195,2.048,4,10,DSDV,7.5
196,2.56,5,10,DSDV,7.5
197,2.56,5,10,DSDV,7.5
198,2.048,4,10,DSDV,7.5
199,2.048,4,10,DSDV,7.5
